State,Initial,Region,Seats by State
Alabama,AL,South,7
Alaska,AK,West,1
Arizona,AZ,West,9
Arkansas,AR,South,4
American Samoa,AS,NA,0
California,CA,West,53
Colorado,CO,West,7
Connecticut,CT,East,5
Delaware,DE,East,1
District of Columbia,DC,East,0
Florida,FL,South,27
Georgia,GA,South,14
Guam,GU,NA,0
Hawaii,HI,West,2
Idaho,ID,West,2
Illinois,IL,Midwest,18
Indiana,IN,Midwest,9
Iowa,IA,Midwest,4
Kansas,KS,Midwest,4
Kentucky,KY,South,6
Louisiana,LA,South,6
Maine,ME,East,2
Maryland,MD,East,8
Massachusetts,MA,East,9
Michigan,MI,Midwest,14
Minnesota,MN,Midwest,8
Mississippi,MS,South,4
Missouri,MO,Midwest,8
Montana,MT,West,1
Nebraska,NE,Midwest,3
Nevada,NV,West,4
New Hampshire,NH,East,2
New Jersey,NJ,East,12
New Mexico,NM,West,3
New York,NY,East,27
North Carolina,NC,South,13
North Dakota,ND,Midwest,1
Northern Mariana Islands,MP,NA,0
Ohio,OH,Midwest,16
Oklahoma,OK,South,5
Oregon,OR,West,5
Pennsylvania,PA,East,18
Puerto Rico,PR,NA,0
Rhode Island,RI,East,2
South Carolina,SC,South,7
South Dakota,SD,Midwest,1
Tennessee,TN,South,9
Texas,TX,South,36
Trust Territories,TT,NA,0
Utah,UT,West,4
Vermont,VT,East,1
Virginia,VA,South,11
Virgin Islands,VI,NA,0
Washington,WA,West,10
West Virginia,WV,South,3
Wisconsin,WI,Midwest,8
Wyoming,WY,West,1
